nCount_RNA	original_cluster_identity	UMAP_1	UMAP_2	Col2a1	eGFP-SV40pA
3580	Chondrocytes	-3.19041360453956	2.41802841179419	2	1
1989	Perichondrium	-0.56230656341903	2.81684857361365	1	0
1088	Chondrocytes	-4.92755950526588	2.67320209496069	5	1
11340	Pericartilaginous mesenchyme	-0.483493338388131	-4.42228287703943	0	0
10284	Pre-osteoblasts	-4.3204990728318	0.503100869584562	7	0
3092	Interdigit mesenchyme	2.80733524723656	1.36787003033209	0	0
2941	Chondrocytes	-2.29407037333839	3.94848662369299	6	1
5159	Muscle connective tissue	2.83089124127038	-4.74172038085413	0	0
1726	Perichondrium	0.759652544695212	0.821035203862669	0	0
9154	Pre-osteoblasts	-5.5782042844712	0.154613671231748	2	0
11231	Pre-osteoblasts	-5.02359927729957	0.56206542007971	2	0
8690	Pericartilaginous mesenchyme	1.06379150314934	-3.89212936408472	1	0
6262	Interdigit mesenchyme	2.39026009007104	-1.32157445199442	0	0
3363	Pericartilaginous mesenchyme	0.945049633222892	-4.18465060241175	0	0
1982	Perichondrium	-0.623442421716378	2.13079696648169	0	0
6027	Pericartilaginous mesenchyme	-0.384752224248574	-2.43127364165735	0	0
1211	Perichondrium	-4.05250753001563	0.873611745763303	3	0
1297	Muscle connective tissue	2.8338686124862	-4.59229010589075	0	0
7307	Chondrocytes	-4.46136964396827	4.15488224976111	55	5
2094	Dermis	5.68569933338769	-1.59403997905207	0	0
5293	Dermis	4.35417400761254	-0.60829679913473	0	0
2354	Muscle connective tissue	3.11406194134362	-4.36349314696741	0	0
3522	Interdigit mesenchyme	1.65154432221062	3.193208990026	0	0
2806	Interdigit mesenchyme	3.50897990627892	1.34823351852942	0	0
1169	Chondrocytes	-5.07557500438087	3.29195767395544	9	0
3361	Muscle connective tissue	3.94780336781151	-3.8064841652627	0	0
6017	Perichondrium	-1.57422889308326	0.529600558209898	1	0
1325	Interdigit mesenchyme	3.11262308521874	0.107379553246977	0	0
4902	Perichondrium	-0.329164425891564	2.41308647148657	0	0
4666	Dermis	5.0891917841018	-2.67620367057276	0	0
4778	Interdigit mesenchyme	1.92414032383568	1.10667067520666	0	0
3295	Perichondrium	1.62215255661614	1.25412672512579	0	0
9036	Tendons	-1.42266441420905	-1.02569210774851	9	0
1422	Pericartilaginous mesenchyme	-0.472669820350335	-4.72772950179529	0	0
1810	Interdigit mesenchyme	3.59289466305382	0.540009853768827	0	0
6220	Perichondrium	-0.704833339017556	1.17029994480658	0	0
4540	Dermis	5.58540665073998	-2.27493280417871	0	0
3593	Pericartilaginous mesenchyme	-0.0552148437618474	-1.38264727837992	0	0
4252	Chondrocytes	-4.89686502055518	2.03711277000952	18	2
1740	Perichondrium	-1.97589064673774	0.741942701268675	0	0
1185	Perichondrium	-0.0369860185801248	2.35842233650732	1	0
7325	Pericartilaginous mesenchyme	-1.25684727267616	0.273468789983274	1	0
10585	Muscle connective tissue	2.68041120930321	-4.20504349715662	0	0
7049	Pericartilaginous mesenchyme	-0.620345602792428	-3.77002471930933	0	0
1061	Muscle connective tissue	2.4313024179519	-4.48310822493982	0	0
1663	Tendons	-2.46973146037452	-1.5351720476861	0	0
3183	Dermis	4.70102678700097	-1.18487429864359	0	0
4053	Perichondrium	0.60919897719033	0.701625761914732	0	0
5757	Chondrocytes	-3.84008921222083	4.19632845871496	17	6
4747	Perichondrium	0.646756221491172	2.88531404488135	0	0
6347	Muscle connective tissue	2.55431209965356	-4.5217043781991	0	0
4343	Perichondrium	0.849757184225394	3.77227383606482	0	0
11530	Pericartilaginous mesenchyme	-0.0246357871710519	-4.45018977172327	0	0
1788	Perichondrium	0.552197922903373	1.63262206070471	0	0
5322	Pericartilaginous mesenchyme	1.97889553471215	-2.84874195105982	0	0
1288	Perichondrium	-0.323755989831613	2.39494353287268	0	0
3605	Tendons	-1.74784113005988	-1.23067641503763	0	0
4270	Pericartilaginous mesenchyme	1.3662023441375	-4.37520331389856	0	0
3668	Chondrocytes	-3.18315065936439	3.98356801025915	10	1
5863	Pericartilaginous mesenchyme	2.32645737095483	-2.55911964423609	0	0
3144	Perichondrium	0.282467831808402	3.10161500923681	0	0
5734	Pericartilaginous mesenchyme	-0.354115824264214	-3.9675690556283	0	0
3698	Chondrocytes	-5.53184760646217	3.18687921516943	27	3
2578	Perichondrium	-1.58116079406135	1.53284901135016	2	0
2614	Pericartilaginous mesenchyme	0.733114887911155	-2.30150372035456	0	0
3523	Chondrocytes	-2.96886385516517	3.74287682526159	14	2
3623	Perichondrium	0.499535431104972	-0.297833027910708	0	0
5506	Pericartilaginous mesenchyme	0.910479535299613	-4.45794791228723	0	0
1611	Pre-osteoblasts	-4.19629729823463	-0.555383789014338	0	0
3005	Chondrocytes	-4.1358362539231	3.40366226189184	14	2
3926	Interdigit mesenchyme	3.45537125034936	0.0769026254897133	0	0
3735	Pericartilaginous mesenchyme	-0.0675783856331567	-2.38254708297205	0	0
2269	Perichondrium	-1.37822676734321	2.94571619980383	0	0
2249	Perichondrium	0.026232932645156	1.2338367079978	0	0
3474	Pericartilaginous mesenchyme	2.0202892915786	-2.88318485267114	0	0
3918	Dermis	5.92571484013207	-1.71585363395166	0	0
6949	Dermis	4.6694558755935	-3.17618125922632	0	0
2797	Perichondrium	-1.23383415774696	2.47318273537207	0	0
3395	Perichondrium	0.287623424965217	2.87879138939428	0	0
4721	Interdigit mesenchyme	2.77881609364159	1.42656284325171	0	0
1147	Chondrocytes	-4.78590358332984	3.00162106506872	7	1
3304	Tendons	-0.987499545377419	-0.809187206100939	0	0
4172	Pericartilaginous mesenchyme	0.994237651068046	-3.98811882979822	0	0
9010	Pericartilaginous mesenchyme	-0.583333830398248	-4.6124026203866	0	0
3027	Perichondrium	0.791861345011069	1.9575129126792	0	0
7179	Tendons	-1.95809842185371	-1.3113640571351	0	0
9432	Dermis	6.47028480930932	-1.98535639293146	0	0
2901	Chondrocytes	-1.92853749827735	3.11086302750158	0	0
2513	Chondrocytes	-4.38426507548682	2.64478760712195	3	1
3743	Interdigit mesenchyme	2.34248982830651	-0.363869807344197	0	0
6931	Dermis	5.14836870594628	-2.52157038695764	0	0
3912	Muscle connective tissue	2.78120361729272	-4.66970366485071	0	0
11205	Tendons	-2.45952905253761	-2.68328851706934	0	0
5999	Interdigit mesenchyme	3.64298044605859	0.173691687512876	0	0
5401	Muscle connective tissue	2.74790464802392	-4.28831237800074	0	0
2671	Perichondrium	0.6254449383796	2.70747691147375	0	0
6117	Pre-osteoblasts	-4.23202289180152	-0.0813884461636528	0	0
1067	Pericartilaginous mesenchyme	0.977208008009269	-3.18135565764856	0	0
1128	Tendons	-2.53584064082496	-2.68659919745874	0	0
3357	Dermis	6.09960686131127	-2.15404552466822	0	0
9314	Dermis	4.48210226460107	-2.81109518058252	0	0
7733	Muscle connective tissue	3.51963030262597	-3.82138484961939	0	0
7157	Tendons	-2.00411237315528	-0.559417116116999	0	0
3696	Muscle connective tissue	2.73869096203454	-4.30868524558496	0	0
6218	Pericartilaginous mesenchyme	0.301425685125663	-3.88307041175318	0	0
1110	Perichondrium	1.07255720062859	0.350323257375242	0	0
8325	Chondrocytes	-5.65430797175758	3.44513445847082	65	9
1604	Perichondrium	-2.6123360498368	0.667324838567259	0	0
1711	Perichondrium	2.05447517796166	0.340541419911863	0	0
4238	Chondrocytes	-2.44519508914344	3.75247412674475	5	2
8629	Tendons	-2.03276849822395	-2.58803981788111	0	0
10232	Pre-osteoblasts	-4.97674048976295	0.174303111958982	3	0
1149	Interdigit mesenchyme	2.37488900585778	0.980257210660459	0	0
2546	Perichondrium	0.563472141462638	1.25553637497473	1	0
5657	Pericartilaginous mesenchyme	-0.0415199911712865	-3.04621953017664	0	0
2173	Pericartilaginous mesenchyme	-0.717248211663888	-3.90836209304285	0	0
1314	Chondrocytes	-1.99689043597572	2.98746353142309	2	0
4945	Pericartilaginous mesenchyme	2.34282027645714	-3.06999677665186	0	0
5263	Interdigit mesenchyme	2.72856389446862	3.69753342621374	0	0
2043	Perichondrium	-0.732475648683236	2.37567859642553	0	0
1092	Pre-osteoblasts	-4.65448010997169	-0.323745811950682	0	0
8921	Tendons	-2.5102168424546	-2.70734876639795	0	0
2030	Dermis	6.21725069447167	-2.11893087871027	0	0
10776	Chondrocytes	-5.28240693644874	3.04441624634314	83	9
4905	Chondrocytes	-4.86803544597022	2.70829826347876	10	3
4609	Perichondrium	0.282802482086494	3.65323430054236	1	0
1497	Pericartilaginous mesenchyme	1.47505473061211	-4.42392939574671	0	0
2041	Pre-osteoblasts	-3.16939581469886	-0.63314123697233	0	0
5348	Chondrocytes	-2.66350663737647	2.1875036334281	2	0
3022	Perichondrium	-3.57917107180946	1.71813255302954	5	0
2922	Interdigit mesenchyme	1.43246685429223	3.00364356987524	0	0
3040	Perichondrium	0.995444525915458	3.47575670235205	0	0
6531	Chondrocytes	-5.11241210536353	2.48500352852392	56	0
5576	Interdigit mesenchyme	2.07300912304528	3.80698138229895	0	0
4865	Chondrocytes	-4.49644101695411	4.02000361435461	23	4
4427	Chondrocytes	-5.45367015437476	2.83136158936072	28	1
3803	Perichondrium	-0.956478367608712	1.10474580280829	0	0
7188	Pericartilaginous mesenchyme	0.649613191324546	-4.26697820670557	0	0
6067	Dermis	5.72583233280785	-2.57412404067468	0	0
1149	Interdigit mesenchyme	1.98713766499169	3.60729008667517	0	0
3873	Interdigit mesenchyme	2.71690689488061	1.01754599564123	0	0
1998	Interdigit mesenchyme	3.38859402104027	1.34177559368658	0	0
1601	Perichondrium	0.679553021627738	2.80984145157385	0	0
2464	Dermis	3.77564536495812	-0.783076229166506	0	0
1123	Perichondrium	-1.11555923060767	0.408683893609525	0	0
7008	Pericartilaginous mesenchyme	2.24669157429345	-4.39647358901453	8	0
3022	Perichondrium	-1.53551114634864	1.52950137608099	0	0
3976	Perichondrium	-0.84484417275779	1.42042082302618	0	0
2371	Perichondrium	0.294978936153724	2.265319404531	0	0
3894	Perichondrium	-2.00617540912025	1.21149199955511	4	1
2220	Perichondrium	1.24249171181328	0.943116722035886	0	0
1206	Pericartilaginous mesenchyme	0.293423165518119	-3.45559066779566	0	0
